state,CD48,CD59,HLA-B,HLA-DPA1,HLA-DPB1,HLA-DRA,HLA-DRB1,LGALS1,S100A8,S100A9,VCAN,VIM
Macrophage,0.6355154,0.47550747,2.8952718,2.9900608,2.830855,3.8253167,3.093605,2.3107648,0.65233874,1.1078583,0.37581348,2.9879887
Mono,0.7782932,0.1793753,3.0057762,1.3097491,1.1645032,2.461299,1.6839156,2.0937617,2.5943568,3.0889614,1.9307867,3.1881595
pDC,0.3794853,0.19201632,3.055253,2.5729883,2.299726,3.4526253,2.7475004,1.5523484,0.15703648,0.20575164,0.06447027,2.5163424
B,1.0998125,0.11689653,2.980232,2.3307762,2.3622034,3.4428408,2.5815923,0.82747054,0.14695828,0.2944251,0.03501618,1.655083
CD8T,1.4049878,0.12727919,3.5396974,0.7294443,0.8858725,0.4937522,0.72880334,1.1789606,0.058175717,0.11133082,0.055898193,2.4412372
Treg,1.2136062,0.2875146,3.5267434,0.6671956,0.69627815,0.51186585,0.658583,1.1211457,0.07420457,0.13886695,0.05224029,2.085937
Plasma,0.5872484,0.29915223,2.6295536,0.84155184,0.6690232,0.99105954,0.7968441,1.2274381,0.16949157,0.20566484,0.03646655,1.8012714
Mast,0.6398121,0.51335245,2.457016,0.21887505,0.16957586,0.2673911,0.21548103,1.4151134,0.119540565,0.17822695,0.07335297,3.429818
NK,0.6031458,0.4632269,3.2000165,0.26886287,0.27888712,0.35606718,0.24081463,1.8230264,0.16183588,0.23964077,0.09793853,1.955793
CD4T,1.3192836,0.18459074,3.2445753,0.17061655,0.18348637,0.19511315,0.12727495,0.67828155,0.0976952,0.17252202,0.04006733,2.2532864
